adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,genres,cast,director,keywords
False,/diOZbaDnB2CIilwd0527AB1qMvW.jpg,"[27, 53]",1339713,Obsession,en,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",738.4558,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,2026-05-13,False,False,8.219,1944,Horror Thriller,Michael Johnston Inde Navarrette Cooper Tomlinson Megan Lawless Andy Richter Haley Fitzgerald Darin Toonder Anthony Pavone Justice Anthony Casabianca Chloe Breen Malcolm Kelner Curry Barker Jeff Barker Charles Santa Cruz Alex Maystrik Emilio Flores Mariana Silva Kyle Blumenthal Jorge Luquin Jose Herrera Manny Liotta Mai Chi Nguyen Tim Robinson Evan Brown Maddi Hulburt Jacob Stephens Skyler Zurn Danielle Krett Dylan Michael Searle Matthew Jackson Itzel Ximena Gonzalez Evan Lugo Kevin Kim Dannell Brown Dario Ramos Gabriel Rubalcava Sabina Tenorio Claudio Parrone Jr. Max Maher Travis Beck Ben Scattone Ian Brown Chelsey Kaye Cydney Jenks Michael Brockmann Iyana Fawcett,Curry Barker,obsession supernatural possession wish unrequited love couple absurdism self-harm supernatural horror psychological independent film psychological horror cursed object
False,/s6ly8laenkHWlIBRkLSfIuEMLC6.jpg,"[878, 53]",1275779,Disclosure Day,en,Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",654.323,/7RYO0KTXIJ0rS0LqnCQLxeNR3P3.jpg,2026-06-10,False,False,6.67,791,Science Fiction Thriller,Emily Blunt Josh O'Connor Colin Firth Colman Domingo Eve Hewson Wyatt Russell Elizabeth Marvel Henry Lloyd-Hughes Courtney Grace Jeremy Shamos Michael Gaston Gabby Beans Elliot Villar Noah Robbins Clarke Thorell Elizabeth Stanley Nina White Emily Jackson Margo Seibert Chavo Guerrero Jr. Brian Button Lance Hoyt Ron Song Ephraim Birney Hettienne Park Tommy Martinez Brandon Wilson Delaney Anne Cuthbert Tyler Maxwell Renaud Jim Parrack Priyanka Kedia Lora Lee Gayer Bob Greenberg Robert Engel Viveca Chow Lucy Taylor Lilli Stein Elaine Baez Revon Yousif Eboni Booth Kit Williams Jordan Gelber Brooke Morris Michael Kaurene Gibson Frazier,Steven Spielberg,new york city childhood trauma alien on the run kansas city mind reading alien invasion meteorologist whistleblower anxious conspiracy thriller
False,/xWBiXclrRmTggQHMRsIn84YHavs.jpg,"[35, 27]",1273221,Scary Movie,en,Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",562.8499,/1KlYdWoOrbL5ux357rW9LC155qw.jpg,2026-06-03,False,False,5.4,410,Comedy,Marlon Wayans Shawn Wayans Anna Faris Regina Hall Damon Wayans Jr. Gregg Wayans Kim Wayans Benny Zielke Cameron Scott Roberts Cheri Oteri Chris Elliott Dave Sheridan Heidi Gardner Lochlyn Munro Olivia Rose Keegan Ruby Snowber Savannah Lee Nassif Sydney Park Jon Abrahams Michael Leavy Kai Cenat Paige Mobley Fedor Steer Chip Carriere Anthony Anderson Kenan Thompson Teyana Taylor Shaquille O'Neal Carmen Electra Charlene Amoia Glenn Vandagriff Ilia Christmas Wayans Craig Wayans Axl July Ivory Wayans Keeanu Wayans Deon Cole D.C. Ervin Felissa Rose,Michael Tiddes,parody sequel slapstick comedy crude humor animated scene slasher horror spoof dildo reboot duringcreditsstinger mother daughter estrangement legacy offensive cosmetic surgery weed horror parody social media influencer livestream stoner comedy farcical frustrated meta humor gross out raunchy
False,/mCpwRayjXMFzKHbjbzc5JRKfq1O.jpg,"[27, 9648, 878]",1083381,Backrooms,en,Backrooms,A strange doorway appears in the basement of a furniture showroom.,549.6631,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,2026-05-27,False,False,6.8,872,Horror Mystery Science Fiction,Chiwetel Ejiofor Renate Reinsve Mark Duplass Finn Bennett Lukita Maxwell Avan Jogia Robert Bobroczkyi Ember Ambrose Krista Kosonen Philip Granger Katharine Isabelle Peter New Sarah Hayward Natalie Moon Calix Fraser Sawyer Fraser Patrick Baynham Rhiannon Roberts Dana Mahmood Matthew Patrick Savage Ramona Kim Milana Wan Kelly Craig Mel Kostas,Kane Parsons,california monster therapist surrealism childhood trauma alcoholism found footage 1990s other dimension based on web series psychological liminal body horror psychological horror liminal space analog horror sci-fi horror bewildered foreboding liminal horror
False,/4D1pdB27uph7J8HQzNf8QvvH9bn.jpg,"[16, 10751, 35, 12]",1084244,Toy Story 5,en,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",510.8593,/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,2026-06-17,False,False,7.4,455,Animation Family Comedy Adventure,Tom Hanks Tim Allen Joan Cusack Greta Lee Conan O'Brien Craig Robinson Shelby Rabara Tony Hale Scarlett Spears Jay Hernandez Lori Alan Bonnie Hunt Kristen Schaal Wallace Shawn John Ratzenberger Blake Clark Jeff Bergman Anna Vocino Annie Potts Mykal-Michelle Harris Keanu Reeves Ernie Hudson Jeff Garlin Melissa Villaseñor Matty Matheson John Hopkins Jeff Pidgeon Krys Marshall Alan Cumming Bad Bunny Jerome Ranft Andrew Stanton Paxton Andrews Bob Bergen Barbara Goodson Paul Karmiryan Mona Marshall Scott Menville Jamieson Price Tara Strong Cheyah Rukavina Lucie Vuong Ashley Bell Daniel MK Cohen Sarah Hollis Anndi McAfee Brian Larsen Sailor Mae Money Hazel Shea Jordan Sunshine Kari Wahlgren Shelby Young Michael Bell Terri Douglas Keston John Lucy Lowe Amari McCoy Brad Norman Fred Tatasciore Kayleigh Rayne Hynden Walch,Andrew Stanton,farm island pig horse rescue mission rivalry sequel love stranded wedding tire swing walkie talkie cowgirl cowboy buddy comedy duringcreditsstinger toy comes to life hippo abandonment toilet paper replacement toy frog 3d animation tablet ipad
False,/Af907x5h9W1wVis8XrSd7ynTWuy.jpg,"[35, 18]",1314481,The Devil Wears Prada 2,en,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",353.1912,/fCAURTUx3YfsJ8k9I0UamjSILiR.jpg,2026-04-29,False,False,6.957,1193,Comedy Drama,Meryl Streep Anne Hathaway Emily Blunt Stanley Tucci Kenneth Branagh Justin Theroux Lucy Liu Tracie Thoms Tibor Feldman B.J. Novak Patrick Brammall Simone Ashley Caleb Hearon Helen J. Shen Rachel Bloom Larry Mitchell George C. Wolfe Daniel Liu Pauline Chalamet Bria Condon Esco Jouléy Rishi Mukherjee Wes McGee Eloise Ro Tanya Hutchison Briga Heelan Julia Ty Goldberg Avery Bederman Colleen Dengel Suzanne Dengel Walter Belenky Hillary Carrigan Kendi Nichols Elizabeth Lim Devin Moore Maureen McDermott Milly Tamarez Catherine Cohen Elizabeth Holder Amanda Morrow Kennedy Walsh Medora Groff Kiara Gomez Glad Bak Anne Cebula Donatella Versace Marc Jacobs Brunello Cucinelli Domenico Dolce Stefano Gabbana Jon Batiste Suleika Jaouad Rory McIlroy Erica McIlroy Law Roach Heidi Klum Amelia Dimoldenberg Karl-Anthony Towns Kara Swisher Tina Brown Jenna Bush Hager Ronny Chieng Tomi Adeyemi Winnie Harlow Calum Harper Jia Tolentino Molly Jong-Fast Brigitte Lacombe Ashley Graham Karolína Kurková Ciara Amelia Gray Anok Yai Hannah Berner Paige DeSorbo Vanessa Friedman Wisdom Kaye Camilla Cucinelli Carolina Cucinelli Edward Enninful Naomi Campbell Sarah Tanno Frederic Aspiras Marc Glimcher Richard Kirshenbaum Adam Pendleton Lady Gaga Craig 'Radio Man' Castaldo Doyoung Mun Ka-young Michele Morrone Conrad Ricamora,David Frankel,new york city based on novel or book sequel fashion fashion magazine dramedy magazine editor fashion industry fashionista
False,/iYjlQzWbcFIjWe2WifbEPb4kErp.jpg,"[27, 53]",1127384,Deep Water,en,Deep Water,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,276.9717,/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,2026-04-30,False,False,6.694,108,Horror Thriller,Aaron Eckhart Ben Kingsley Molly Belle Wright Angus Sampson Elijah Tamati Zhao Simei Li Wenhan Nashi Richard Crouchley Madeleine West Kate Fitzpatrick Lakota Johnson Lucy Barrett Rob Kipa-Williams Kelly Gale Ryan Bown Mark Hadlow Rarmian Newton Michael Cardelle John De Luca Sonia Dorado Jacqueline Lee Geurts Tony Zhou Priya Jain Chrissy Jin Santi López Renaye Tamati Pamela Shaw Johanna Harlin Ismael Quintanar Ashlee Monroe Rosalie Button Dylan Torrell Jenny Beacraft Renny Harlin Annie O'Callaghan Pei Hwee Tan Goh Li Fei Jared Turner Núria Valls,Renny Harlin,shark
False,/qJ2KSHJhlFvASBMLbGuP7OFMaFg.jpg,"[53, 28, 80]",1413976,Citizen Vigilante,en,Citizen Vigilante,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.",266.4206,/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,2026-06-19,False,False,6.6,177,Thriller Action Crime,Armie Hammer Costas Mandylor Désirée Giorgetti Steffen Mennekes Neb Chupin Mukit Abdul Hamid Fares Mongi Hila Harush Helen Al-Janabi Dora Dimić Rakar Tvrtko Jurić Roni Lepej Emin Račić Dino Ugljen Vini Jurčić Filip Miletic Vjekoslav Katušin Milan Papic Hasan Kanbur Benjamin Schnau Lennart Betzgen Ema Masala Danijela Evđenić Valentine Olanrewaju Okoli Lidija Penić Grgaš Dino Keric Elizabeth Zacero Alona Hertha Ivan Ožegović Krešimir Šimac Magdalena Kovacic Jenny Perris Kristina Mavrinac Boris Veličan Tino Trkulja Irfan Ribić Omar Antabli Alaba Gabriel Dare Sunday Godwin Oluwaseun Michael Ijana Margarita Mladinić Anita Miletic Vibor Kreković Dragana Ristin Dunja Sepčić Bogner Sasha Higgins Uwe Boll,Uwe Boll,rape corruption police immigration rape victim murder vigilante justice news report vigilante justice bar inspirational business owner nonlinear narrative hopeful instructive mean spirited optimistic powerful sincere anonymous interpol agent graphic violence viral sensation righteous kill
False,/2flMSJfRSZ8OWdPjZEz2kJatBLm.jpg,"[28, 35, 12, 80]",1169516,Welcome to the Jungle,hi,Welcome to the Jungle,"A group of quirky characters gets stuck in a dangerous jungle during a chaotic mission. Filled with confusion, criminals, and hilarious situations, they must work together to survive and find their way out.",126.1255,/1JlfUuvvX5xLP2LIDah4JhWUtTx.jpg,2026-06-25,False,False,5.206,17,Action Comedy Adventure Crime,Akshay Kumar Suniel Shetty Arshad Warsi Jacqueline Fernandez Disha Patani Raveena Tandon Jackie Shroff Paresh Rawal Lara Dutta Farida Jalal Mukesh Tiwari Yashpal Sharma Shreyas Talpade Tusshar Kapoor Johny Lever Rajpal Yadav Zakir Hussain Kiran Kumar Krishna Abhishek Kiku Sharda Daler Mehndi Aftab Shivdasani Vindu Dara Singh Urvashi Rautela Hemant Pandey Brijendra Kala Pankaj Dheer Puneet Issar Sudesh Berry Jeetu Verma Vrihi Kodvara Bhagya Bhanushali Ayesha Khan Arjun Akshara Singh,Ahmed Khan,
False,/ufSwlnECLoUbBjPrFqEQcWBzHwc.jpg,"[10402, 18]",936075,Michael,en,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",219.5762,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,2026-04-22,False,False,8.707,3286,Music Drama,Jaafar Jackson Colman Domingo Nia Long Juliano Krue Valdi Miles Teller KeiLyn Durrel Jones Kendrick Sampson Joseph David-Jones Rhyan Hill Jamal Henderson Trey Horton Jessica Sula Larenz Tate Laura Harrier Mike Myers Nathaniel Logan McIntyre Judah Edwards Jayden Harville Jaylen Hunter Deon Cole Michael Andrew Baker Zach Kenney Amaya Mendoza Liv Symone Albie Selznick Christine Fekete Tiago Martinez Sophia Villegas John Rake Kyle Hills Misha Suvorov Lincoln Bodin Jasper Irvin August Dantus Jack McSherry Brandon Turner DeRon Cash Brandon Brown Jerrel O'Neal Jon Boogz Brandon McKinnie Larry Jacks Suga Pop Alan Leal Kalan.FrFr Anna Carini Kameron Brummer Anika Nicolle Brooks Michael Berry Jr. Mark Bloom Asia Fuqua Tony von Halle Paul Hipp Jono Petrie Monique Lindsey Zylan Brooks Rob Brownstein Ryan Everett Emily Zapotocny Cedric Stephens Dennis Boyd Darrell Lee Hughes Mikal Berry Frescia Belmar Prince Jackson Daniel Korenfeld Lucas Wegnez González,Antoine Fuqua,child abuse sibling relationship 1970s abusive father ambition biography singer period drama music history price of fame singer-songwriter rise to fame 1980s 1960s music biographical drama music drama biopic
